Data;Cota;Fator Acumulado CDI
2015-07-31;1,04838340;1,07206808
2015-08-03;1,05432080;1,07263050
2015-08-04;1,05743200;1,07319322
2015-08-05;1,05878730;1,07375623
2015-08-06;1,06488090;1,07431954
2015-08-07;1,06422090;1,07488314
2015-08-10;1,06328610;1,07544704
2015-08-11;1,06473310;1,07601123
2015-08-12;1,06435270;1,07657572
2015-08-13;1,06614590;1,07714051
2015-08-14;1,06493870;1,07770559
2015-08-17;1,06178520;1,07827097
2015-08-18;1,05955670;1,07883665
2015-08-19;1,06564840;1,07940262
2015-08-20;1,06333130;1,07996889
2015-08-21;1,06485280;1,08053546
2015-08-24;1,06320110;1,08110232
2015-08-25;1,06499880;1,08166948
2015-08-26;1,06542220;1,08223694
2015-08-27;1,06329700;1,08280470
2015-08-28;1,06505250;1,08337275
2015-08-31;1,06748480;1,08394110
2015-09-01;1,07232110;1,08450975
2015-09-02;1,07984750;1,08507870
2015-09-03;1,08509100;1,08564795
2015-09-04;1,08828240;1,08621750
2015-09-08;1,09363780;1,08678734
2015-09-09;1,09251430;1,08735748
2015-09-10;1,09379420;1,08792792
2015-09-11;1,09983300;1,08849866
2015-09-14;1,10003360;1,08906970
2015-09-15;1,09752810;1,08964104
2015-09-16;1,09348520;1,09021268
2015-09-17;1,09511890;1,09078462
2015-09-18;1,09707620;1,09135686
2015-09-21;1,09969880;1,09192940
2015-09-22;1,10425440;1,09250224
2015-09-23;1,10816620;1,09307538
2015-09-24;1,10765190;1,09364882
2015-09-25;1,10851470;1,09422256
2015-09-28;1,11127800;1,09479660
2015-09-29;1,10926920;1,09537095
2015-09-30;1,10904220;1,09594560
2015-10-01;1,11001530;1,09652055
2015-10-02;1,10981340;1,09709580
2015-10-05;1,10803110;1,09767135
2015-10-06;1,10449900;1,09824720
2015-10-07;1,10172370;1,09882336
2015-10-08;1,09754550;1,09939982
2015-10-09;1,09212580;1,09997658
2015-10-13;1,10558070;1,10055364
2015-10-14;1,10499060;1,10113101
2015-10-15;1,10426180;1,10170868
2015-10-16;1,10369100;1,10228665
2015-10-19;1,10417320;1,10286492
2015-10-20;1,09989340;1,10344350
2015-10-21;1,10111620;1,10402238
2015-10-22;1,10060400;1,10460157
2015-10-23;1,10205850;1,10518144
2015-10-26;1,10404320;1,10576162
2015-10-27;1,10357850;1,10634210
2015-10-28;1,10654010;1,10692289
2015-10-29;1,11028370;1,10750398
2015-10-30;1,10906320;1,10808538
2015-11-03;1,10022530;1,10866708
2015-11-04;1,10105910;1,10924909
2015-11-05;1,10021190;1,10983140
2015-11-06;1,10414580;1,11041402
2015-11-09;1,10556620;1,11099694
2015-11-10;1,11082470;1,11158017
2015-11-11;1,10810990;1,11216371
2015-11-12;1,11541060;1,11274755
2015-11-13;1,11536800;1,11333170
2015-11-16;1,11496020;1,11391616
2015-11-17;1,10767540;1,11450092
2015-11-18;1,10741220;1,11508599
2015-11-19;1,10534510;1,11567137
2015-11-20;1,10582160;1,11625705
2015-11-23;1,10521180;1,11684304
2015-11-24;1,10367920;1,11742934
2015-11-25;1,10487020;1,11801595
2015-11-26;1,10963760;1,11860287
2015-11-27;1,11518710;1,11919009
2015-11-30;1,12234640;1,11977762
2015-12-01;1,12383780;1,12036546
2015-12-02;1,11892230;1,12095361
2015-12-03;1,11412900;1,12154207
2015-12-04;1,11438280;1,12213084
2015-12-07;1,11377240;1,12271992
2015-12-08;1,11430400;1,12330930
2015-12-09;1,12220570;1,12389899
2015-12-10;1,11941190;1,12448899
2015-12-11;1,11835470;1,12507930
2015-12-14;1,11755520;1,12566992
2015-12-15;1,11912570;1,12626085
2015-12-16;1,11906430;1,12685209
2015-12-17;1,12256190;1,12744364
2015-12-18;1,12175190;1,12803550
2015-12-21;1,12544490;1,12862768
2015-12-22;1,12584080;1,12922017
2015-12-23;1,12490700;1,12981297
2015-12-24;1,12538010;1,13040608
2015-12-28;1,12364930;1,13099950
2015-12-29;1,12452310;1,13159323
2015-12-30;1,12697330;1,13218727
2015-12-31;1,12746180;1,13278162
2016-01-04;1,12843600;1,13337629
2016-01-05;1,13468100;1,13397127
2016-01-06;1,13733910;1,13456656
2016-01-07;1,13745310;1,13516216
2016-01-08;1,13682650;1,13575808
2016-01-11;1,13353850;1,13635431
2016-01-12;1,13333040;1,13695085
2016-01-13;1,13797630;1,13754771
2016-01-14;1,13879270;1,13814488
2016-01-15;1,14081720;1,13874236
2016-01-18;1,14186860;1,13934016
2016-01-19;1,13785510;1,13993827
2016-01-20;1,14132010;1,14053669
2016-01-21;1,14436300;1,14113543
2016-01-22;1,14502560;1,14173409
2016-01-25;1,14554420;1,14233306
2016-01-26;1,14471210;1,14293234
2016-01-27;1,14205400;1,14353194
2016-01-28;1,14141350;1,14413185
2016-01-29;1,13913850;1,14473208
2016-02-01;1,13289630;1,14533262
2016-02-02;1,13503400;1,14593348
2016-02-03;1,13371940;1,14653465
2016-02-04;1,12946040;1,14713614
2016-02-05;1,12742260;1,14773794
2016-02-10;1,12666300;1,14834006
2016-02-11;1,13299130;1,14894249
2016-02-12;1,13182270;1,14954524
2016-02-15;1,12884940;1,15014831
2016-02-16;1,12529830;1,15075169
2016-02-17;1,12521550;1,15135539
2016-02-18;1,12463410;1,15195941
2016-02-19;1,13156730;1,15256374
2016-02-22;1,12563840;1,15316839
2016-02-23;1,13000190;1,15377336
2016-02-24;1,12977940;1,15437865
2016-02-25;1,12942660;1,15498425
2016-02-26;1,13312330;1,15559017
2016-02-29;1,13792810;1,15619641
2016-03-01;1,14232220;1,15680297
2016-03-02;1,13904690;1,15740984
2016-03-03;1,14560300;1,15801703
2016-03-04;1,15821300;1,15862454
2016-03-07;1,15130350;1,15923237
2016-03-08;1,16661880;1,15984052
2016-03-09;1,16787410;1,16044899
2016-03-10;1,17843050;1,16105778
2016-03-11;1,18577160;1,16166689
2016-03-14;1,18248120;1,16227632
2016-03-15;1,17897880;1,16288607
2016-03-16;1,17941970;1,16349614
2016-03-17;1,18693430;1,16410653
2016-03-18;1,18581730;1,16471724
2016-03-21;1,18548300;1,16532827
2016-03-22;1,18456080;1,16593962
2016-03-23;1,18528670;1,16655129
2016-03-24;1,18840660;1,16716328
2016-03-28;1,19670340;1,16777559
2016-03-29;1,19949510;1,16838822
2016-03-30;1,19923660;1,16900117
2016-03-31;1,20142700;1,16961444
2016-04-01;1,19776250;1,17022804
2016-04-04;1,19721880;1,17084196
2016-04-05;1,19630960;1,17145620
2016-04-06;1,19709130;1,17207076
2016-04-07;1,19711480;1,17268564
2016-04-08;1,19730030;1,17330085
2016-04-11;1,19840590;1,17391638
2016-04-12;1,19897320;1,17453223
2016-04-13;1,19962110;1,17514841
2016-04-14;1,20113060;1,17576491
2016-04-15;1,20353600;1,17638173
2016-04-18;1,20047850;1,17699888
2016-04-19;1,19693910;1,17761635
2016-04-20;1,19504680;1,17823414
2016-04-22;1,20322810;1,17885226
2016-04-25;1,20282630;1,17947070
2016-04-26;1,20478480;1,18008947
2016-04-27;1,20835430;1,18070856
2016-04-28;1,21099410;1,18132798
2016-04-29;1,21565710;1,18194772
2016-05-02;1,21527390;1,18256779
2016-05-03;1,21556480;1,18318818
2016-05-04;1,22017310;1,18380890
2016-05-05;1,22181960;1,18442994
2016-05-06;1,22440040;1,18505131
2016-05-09;1,22848050;1,18567300
2016-05-10;1,23157580;1,18629502
2016-05-11;1,23868690;1,18691737
2016-05-12;1,23435030;1,18754004
2016-05-13;1,23445920;1,18816304
2016-05-16;1,23749540;1,18878637
2016-05-17;1,23437350;1,18941002
2016-05-18;1,23416620;1,19003400
2016-05-19;1,23477200;1,19065831
2016-05-20;1,23552500;1,19128295
2016-05-23;1,23331240;1,19190791
2016-05-24;1,23636410;1,19253320
2016-05-25;1,23428860;1,19315882
2016-05-27;1,23517530;1,19378477
2016-05-30;1,23583270;1,19441105
2016-05-31;1,23286920;1,19503765
2016-06-01;1,23607210;1,19566458
2016-06-02;1,23898320;1,19629184
2016-06-03;1,24312770;1,19691943
2016-06-06;1,24052890;1,19754735
2016-06-07;1,24382690;1,19817560
2016-06-08;1,25215440;1,19880418
2016-06-09;1,25327400;1,19943309
2016-06-10;1,25278140;1,20006233
2016-06-13;1,25128170;1,20069190
2016-06-14;1,25108910;1,20132180
2016-06-15;1,24959400;1,20195203
2016-06-16;1,25021820;1,20258259
2016-06-17;1,25565890;1,20321348
2016-06-20;1,25804750;1,20384470
2016-06-21;1,25866340;1,20447625
2016-06-22;1,25394400;1,20510813
2016-06-23;1,25560430;1,20574035
2016-06-24;1,25904820;1,20637290
2016-06-27;1,25283780;1,20700578
2016-06-28;1,25779360;1,20763899
2016-06-29;1,26525200;1,20827253
2016-06-30;1,26651060;1,20890641
2016-07-01;1,26639290;1,20954062
2016-07-04;1,26394430;1,21017516
2016-07-05;1,26288060;1,21081003
2016-07-06;1,26519490;1,21144524
2016-07-07;1,26787810;1,21208078
2016-07-08;1,27422580;1,21271665
2016-07-11;1,27539440;1,21335286
2016-07-12;1,27644440;1,21398940
2016-07-13;1,27629600;1,21462628
2016-07-14;1,28011030;1,21526349
2016-07-15;1,28128580;1,21590103
2016-07-18;1,27991120;1,21653891
2016-07-19;1,28090730;1,21717712
2016-07-20;1,28011570;1,21781567
2016-07-21;1,27804750;1,21845455
2016-07-22;1,27666560;1,21909377
2016-07-25;1,27715750;1,21973332
2016-07-26;1,27621100;1,22037321
2016-07-27;1,27567900;1,22101343
2016-07-28;1,27545660;1,22165399
2016-07-29;1,27939050;1,22229489
2016-08-01;1,27735250;1,22293612
2016-08-02;1,27781020;1,22357769
2016-08-03;1,27896700;1,22421960
2016-08-04;1,27943200;1,22486184
2016-08-05;1,27388770;1,22550442
2016-08-08;1,27819000;1,22614734
2016-08-09;1,27603870;1,22679059
2016-08-10;1,27831320;1,22743418
2016-08-11;1,27704180;1,22807811
2016-08-12;1,28058590;1,22872238
2016-08-15;1,28422110;1,22936698
2016-08-16;1,28698290;1,23001192
2016-08-17;1,28759510;1,23065720
2016-08-18;1,28929470;1,23130282
2016-08-19;1,28519790;1,23194878
2016-08-22;1,29079920;1,23259508
2016-08-23;1,28996160;1,23324172
2016-08-24;1,29112390;1,23388870
2016-08-25;1,29343680;1,23453601
2016-08-26;1,29778110;1,23518366
2016-08-29;1,29770320;1,23583165
2016-08-30;1,30216710;1,23647998
2016-08-31;1,30509560;1,23712865
2016-09-01;1,30556830;1,23777766
2016-09-02;1,30637580;1,23842702
2016-09-05;1,30628680;1,23907672
2016-09-06;1,30429510;1,23972676
2016-09-08;1,30382520;1,24037714
2016-09-09;1,30529570;1,24102786
2016-09-12;1,30357670;1,24167892
2016-09-13;1,30804530;1,24233032
2016-09-14;1,31124890;1,24298206
2016-09-15;1,31335520;1,24363415
2016-09-16;1,31225130;1,24428658
2016-09-19;1,30970420;1,24493935
2016-09-20;1,31064840;1,24559246
2016-09-21;1,30729860;1,24624591
2016-09-22;1,31046080;1,24689971
2016-09-23;1,31016220;1,24755385
2016-09-26;1,30839090;1,24820833
2016-09-27;1,30636350;1,24886316
2016-09-28;1,30888680;1,24951833
2016-09-29;1,30709720;1,25017384
2016-09-30;1,30738110;1,25082970
2016-10-03;1,31030100;1,25148590
2016-10-04;1,30902470;1,25214245
2016-10-05;1,31000570;1,25279934
2016-10-06;1,31514160;1,25345658
2016-10-07;1,31541540;1,25411416
2016-10-10;1,31819550;1,25477209
2016-10-11;1,31628140;1,25543036
2016-10-13;1,31777350;1,25608898
2016-10-14;1,32007200;1,25674794
2016-10-17;1,31985070;1,25740725
2016-10-18;1,32074180;1,25806690
2016-10-19;1,32328570;1,25872690
2016-10-20;1,32401190;1,25938725
2016-10-21;1,32147900;1,26003698
2016-10-24;1,32660490;1,26068704
2016-10-25;1,32320510;1,26133744
2016-10-26;1,32348020;1,26198817
2016-10-27;1,32705480;1,26263924
2016-10-28;1,32801460;1,26329064
2016-10-31;1,32956170;1,26394238
2016-11-01;1,33078800;1,26459446
2016-11-03;1,33076650;1,26524687
2016-11-04;1,33345580;1,26589962
2016-11-07;1,32767200;1,26655271
2016-11-08;1,32811660;1,26720613
2016-11-09;1,32877130;1,26785989
2016-11-10;1,32569230;1,26851399
2016-11-11;1,32701150;1,26916843
2016-11-14;1,31689410;1,26982320
2016-11-16;1,32148280;1,27047831
2016-11-17;1,32244570;1,27113376
2016-11-18;1,31978170;1,27178955
2016-11-21;1,31880090;1,27244568
2016-11-22;1,31637770;1,27310214
2016-11-23;1,31520800;1,27375894
2016-11-24;1,31444810;1,27441608
2016-11-25;1,31532800;1,27507356
2016-11-28;1,30694490;1,27573138
2016-11-29;1,31273150;1,27638954
2016-11-30;1,31835010;1,27704804
2016-12-01;1,32210300;1,27770688
2016-12-02;1,32508610;1,27835491
2016-12-05;1,32410960;1,27900327
2016-12-06;1,32418530;1,27965196
2016-12-07;1,32292240;1,28030098
2016-12-08;1,33042080;1,28095033
2016-12-09;1,33327060;1,28160000
2016-12-12;1,33279570;1,28225000
2016-12-13;1,33630570;1,28290033
2016-12-14;1,33855610;1,28355099
2016-12-15;1,33314930;1,28420198
2016-12-16;1,33921800;1,28485330
2016-12-19;1,34053600;1,28550495
2016-12-20;1,33911730;1,28615693
2016-12-21;1,33590180;1,28680925
2016-12-22;1,33788310;1,28746190
2016-12-23;1,33818450;1,28811488
2016-12-26;1,33692350;1,28876819
2016-12-27;1,33520210;1,28942183
2016-12-28;1,34106490;1,29007580
2016-12-29;1,34341710;1,29073010
2016-12-30;1,34394400;1,29138473
2017-01-02;1,34527460;1,29203970
2017-01-03;1,34753120;1,29269500
2017-01-04;1,35010290;1,29335063
2017-01-05;1,35033430;1,29400659
2017-01-06;1,35004510;1,29466289
2017-01-09;1,34944370;1,29531952
2017-01-10;1,34930130;1,29597648
2017-01-11;1,35111670;1,29663378
2017-01-12;1,35657630;1,29729141
2017-01-13;1,35199600;1,29791526
2017-01-16;1,35268540;1,29853941
2017-01-17;1,35399170;1,29916386
2017-01-18;1,35366130;1,29978861
2017-01-19;1,35749220;1,30041367
2017-01-20;1,35640260;1,30103903
2017-01-23;1,35814270;1,30166469
2017-01-24;1,35570150;1,30229065
2017-01-25;1,35623870;1,30291691
2017-01-26;1,35966320;1,30354347
2017-01-27;1,36177920;1,30417033
2017-01-30;1,35974240;1,30479749
2017-01-31;1,36593210;1,30542495
2017-02-01;1,36258060;1,30605272
2017-02-02;1,35934170;1,30668079
2017-02-03;1,36663810;1,30730916
2017-02-06;1,36621340;1,30793783
2017-02-07;1,37114570;1,30856680
2017-02-08;1,37451140;1,30919608
2017-02-09;1,37665980;1,30982566
2017-02-10;1,37524500;1,31045554
2017-02-13;1,37484920;1,31108572
2017-02-14;1,37331100;1,31171621
2017-02-15;1,37467560;1,31234700
2017-02-16;1,37776940;1,31297809
2017-02-17;1,37681270;1,31360949
2017-02-20;1,37861890;1,31424119
2017-02-21;1,38485230;1,31487320
2017-02-22;1,38805700;1,31550551
2017-02-23;1,39093590;1,31613812
2017-02-24;1,39032160;1,31673620
2017-03-01;1,38982370;1,31733456
2017-03-02;1,39155240;1,31793319
2017-03-03;1,39104700;1,31853209
2017-03-06;1,39337440;1,31913126
2017-03-07;1,39589340;1,31973070
2017-03-08;1,39396990;1,32033042
2017-03-09;1,39087790;1,32093041
2017-03-10;1,39042670;1,32153067
2017-03-13;1,38710770;1,32213120
2017-03-14;1,37997240;1,32273201
2017-03-15;1,37915730;1,32333309
2017-03-16;1,37126540;1,32393444
2017-03-17;1,37294360;1,32453607
2017-03-20;1,37128180;1,32513797
2017-03-21;1,37234890;1,32574014
2017-03-22;1,38060190;1,32634259
2017-03-23;1,37909380;1,32694531
2017-03-24;1,38237880;1,32754831
2017-03-27;1,38075540;1,32815158
2017-03-28;1,37760840;1,32875512
2017-03-29;1,38320920;1,32935894
2017-03-30;1,38674260;1,32996303
2017-03-31;1,38364740;1,33056740
2017-04-03;1,38663490;1,33117204
2017-04-04;1,38626860;1,33177696
2017-04-05;1,38857870;1,33238215
2017-04-06;1,38448790;1,33298762
2017-04-07;1,38797020;1,33359336
2017-04-10;1,38368400;1,33419938
2017-04-11;1,38311320;1,33480567
2017-04-12;1,38660650;1,33541224
2017-04-13;1,38168380;1,33601908
2017-04-17;1,38606570;1,33657868
2017-04-18;1,38812830;1,33713852
